x,y
Ищу в аренду квартиру в комплексе Flower Garden ( в Оба ) или Prestige Residense ( в Тосмуре ) .,1
"Нужна а аренду на долгосрок 1+1 Махмутлар/Каргыджак.
Море до 500м
Не старый дом. Этаж выше 2го.
Хорошая инфраструктура.
От собственника или комиссия 50%
Бюджет 300-350€",1
"Здравствуйте на долгий сниму квартиру от собственника. В лирах оплата,до 10-12 тыс лир.
Merhaba, sahibinden bir daire kiralıyorum. kiralık bütçe 10-12 bin lira.",1
"Здравствуйте, ищем квартиру в аренду в Антальи, Аланьи.Семейная пара,взрослые люди",1
"СНИМЕМ квартиру на долгосрок✅
2+1
Меблированная
С видом на море
Между 2 и 6 этажами

Рассматриваем районы📍
Оба, Тосмур, Кестель и может Махмутлар.

#аренда
Пишите в ЛС.",1
Нужна кв 1+1 до 700 евро на аренду БЕЗ ВНЖ в Аланье. желательно от собственника. Предоплата 6 мес. Срочно. В л.с,1
"Ищу квартиру в аренду от собственника, 3+1, Алания центр, Оба бюджет 1500-1800 евро",1
"#сниму Квартиру 2+1 в центре Алании,можем рассмотреть район Оба(нижняя) семья 3 человека(взрослый сын). Бюджет до 11000 лир(600€). Оплата помесячная, возможность прописки и продления ВНЖ. Обязательно водонагреватель и генератор. Первый и последний этажи не предлагать. Заезд конец октября до 1 ноября. Готовы смотреть с 20 октября. Предложения в личку. Без комиссии.",1
"Тоже ищу квартиру от собственника на длительный срок. Без комиссии. 1+0, 1+1 . Не первый этаж.",1
Сниму квартиру 2+1 на долгий срок с 11 марта. Бюджет 1000$ ЧТОБ было всё необходимое ☝😊,1
"Здравствуйте, ищем квартиру в аренду на июнь месяц 2+1, Анталия , Алания , просьба написать в личку",1
"Здравствуйте, ищу квартиру 2+1 в Алании в аренду на год. В комплексе с инфраструктурой, меблированную, в хорошем состоянии. Бюджет до 1000$",1
"Здравствуйте!сниму 1+0 в махмутляре, бюджет 200 евро на полгода .Предложения в личку .",1
Добрый день! Ищу дешевое жилье на долгий срок для себя одной срочно!В Махмутларе или в Кистель или в Алании. Желательно в Махмутларе.,1
"Ищу от собственника на долгосрочную аренду квартиру 1+1, с мебелью, с полной инфраструктурой, район Махмутлар. Без комиссии и депозита.",1
Добрый вечер! Интересует квартира 1+1 на длительный срок с ВНЖ в пределах 2500 лир с инфраструктурой,1
"Добрый день. Ищу квартиру 1+1 на длительный срок, желательно от собственника. Рассмотрим варианты.Центр Алании и Оба.",1
"Сниму квартиру в аренду 1+1, 2+1 с внж! Махмутлар, Кестель! 2 взрослых один ребёнок 4 года! С октября по май! Бюджет до 400€! Дом с инфраструктурой!  Жду предложения! Спасибо!",1
"Добрый день, с октября месяца рассматриваем квартиру 1+1 (бюджет 2500 лир) на долгий срок с внж.",1
Добрый вечер! Ищу квартиру на долгий срок! Махмутлар! С внж! До 400€,1
"Здравствуйте, ищу квартиру Алания, Махмутлар с октября на долгий срок от собственника",1
Здравствуйте! Ищу в аренду на долгосрок квартиру 3+1 или 4+1 с полной инфраструктурой в конце Махмутлара на Барборосса (от Атом Мастера до Скайлакс Отеля) или виллу более менее недалеко от моря. С животными. Варианты в личку.,1
"Ищем квартиру 1+1 или 2+1 на 1 месяц с 15 марта по 15 апреля для семьи из трех детей. Мы ищем жилье без комиссии и депозита в районах Махмутлар, Кестель, Оба, Каргыджак с бюджетом от 600 до 800 евро. Нам важно, чтобы жилье было недалеко от моря и имело крытый бассейн, сауну и детскую площадку. Если у вас есть подходящий вариант, пожалуйста, свяжитесь со мной лично! (Для друзей)",1
"Здравствуйте! Мы ищем квартиру в аренду на один месяц с 1 марта по 1 апреля с бюджетом до 500-600€. Мы предпочли бы районы Махмутлар, Кестель или Оба, предпочтительно ближе к морю, до 1 км. Желательно имела крытый бассейн, сауну и детскую площадку, хороший интернет. Мы - семейная пара с 9-месячным ребенком. Если есть варианты напишите в личку. Без комиссии и депозитов. Спасибо!",1
здравствуйте ищу 3+1 KONAK PREMIUM в аренду,1
Здравствуйте. Ищу квартиру 3+1 в аренду с 28.05 на месяц.,1
Добрый день ищу квартиру на длительный срок с внж в пределах 500€,1
Добрый день ищу квартиру в пределах 350-500€ с внж,1
"Запрос Ищу в Махмутларе для клиента (супружеская пара пенсионеры) 1+1 или 2+1 пустую, в долгосрочную аренду бюджет до 8.000 лир",1
"Ищу квартиру от собственника 
3+1 дуплекс от 150М2 
С видом на море 🌊 
Полная инфраструкрута, рабочий крытый бассейн
До море максимум 300 метров
Махмутлар, Кестель 
Дом не старше 7 лет 
Бюджет до 180.000  ⍷",1
"Ищу квартиру или комнату в аренду в район кестель, махмутлар, оба, тосмур. Студент! С марта месяца.",1
Добрый день! Прошу подсказать может кто сдает в аренду дом в махмутларе обязательно с бассейном период с 30 июня до 30 июля,1
"Добрый вечер, сниму квартиру в центре, бюджет 10.000 лир",1
Здравствуйте ищу квартиру на долгосрочную аренду в центре Алании или же в Обе. Ценой не более 500€.,1
Здравствуйте. Сниму квартиру в yekta sunrise с 10.07 на месяц. Либо в доме рядом. 2+1. Либо виллу. Рассмотрю все варианты. В личку,1
"Срочно ДЛЯ СЕБЯ ищу квартиру люкс или дуплекс в аренду 3+1, конец Махмутлара на Барбаросса, от Sсylax до Атом Мастер с крытым теплым бассейном. Без комиссии. Пишите в личку.",1
"Срочно ищу квартиру люкс или дуплекс в аренду 3+1, конец Махмутлара на Барбаросса, от Sсylax до Атом Мастер с теплым бассейном внутри. Недорого. Без комиссии. Пишите в личку.",1
"Добрый день.

Ищу квартиру в аренду. Без мебели. На долгий срок

Желательно 2+1

Внж не нужен.
 Не в Махмутларе",1
"Возьму в аренду квартиру 1+1 ,2+1 в обе с 5 декабря по 5 января .",1
"Нужна квартира 2+1 в хорошем комплексе с ин-рой, в открытом районе с внж на долгий срок бюджет 500€ просмотр сегодня",1
"Добрый день! Интересует аренда квартиры на месяц в Анталии, район Кепез.Может кто-то свою готов сдать.",1
"Здравствуйте 
Мы из Астаны , я с мужем ищем квартиру на две недели район Махмутлара от хозяев",1
Ищу квартиру в аренду 2+1 или 1+1 в центре Алании или нижняя оба до 450$ долгий срок,1
"Сниму квартиру 1+1 в Махматлар, бюджет 10.000лир",1
"Здравствуйте. Ищу квартиру в Алании, желательно в районе Кестель, Оба. По срокам - 8 недель.",1
"Запрос : ищу квартиру в этих комплексах,  на долгосрочную аренду,  без комиссии.  2+1 или 1+1, Azura Park, Yekta Mall, Serenity Residence . Благодарю.",1
Нужна квартра 1+1 в Махмутларе в простом доме за 350-400 евро.,1
"Есть квартиры в аренду на долгий срок в Махмутлар? 1+1,.. В простом доме.",1
"Семья снимет квартиру до 500$ в Махмутлар, район субботнего рынка. Начало октября. Без комиссии.",1
"Семья снимет квартиру 2+1 в пределах 500$ без комиссии, в Махмутларе, в районе вторничного рынка.",1
Ищу жильё в Махмутлар. Может кто-нибудь сдаёт комнату без комиссии и депозита на долгий срок. Бюджет 5000-6000тл.,1
"Здравствуйте, снимем квартиру 1+1 от собственника. Семейная пара,взрослые люди.С 08.10 на 3 месяца,рассмотрим Анталия(Коньялты,Лиман),Алания,Махмутлар,итд.Бюджет 600 евро",1
"Доброе утро,нужна квартира 2+1 в Yekta Kingdom с 1 го января на 10 дней,напишите в личные 🤝",1
Снимем квартиру на 6 месяцев махмутллар 2+1 до 500 евро,1
Сниму квартиру с декабря по февраль до 8000 лир,1
"Куплю 1*1 махмутллар,Кестель,каргыджак 
70.000€ бюджет 
Только если вы собственник 
Спасибо",1
"Здравствуйте , Ищу квартиру 1+1 от собственника на длительный срок . Район Кестель, махмутлар, тосмур. Цена 10.000 Лир.",1
"Сниму квартиру в кадыкое,   умрание, гозтепе.   2+1, 1+1.    Врач, семейный. На долгий срок.",1
"Куплю квартиру Манавгат, 2+1, до 2 млн лир",1
"Ищу квартиру 1+1 , хурма, мурадпаша, желательно с мебелью",1
"Добрый вечер, друзья! Нужна квартира в Calista- Махмутлар 1+1 и 1+1 в KONAK Twin Towers   -Махмутлар. Может быть кто-то продаёт! Срочно!",1
"Продается В махмутларе
2 квартиры 3+1 дуплекс
1 квартира 3+2
1 квартира 2+1
6 магазинов 
Все продается вместе,по одному не продаются.
Все квартиры подходят под Гражданство",1
Продам квартиру в exodus 1+1. Собственник,1
"Добрый день
Нужна квартира 2+1 от собственника. Желательно Махмутлар , на долгосрок. Бюджет до 500 евро .",1
"Ищем квартиру 1+1 или 2+1 на 1 месяц с 15 марта по 15 апреля для семьи из трех детей. Мы ищем жилье без комиссии и депозита в районах Махмутлар, Кестель, Оба, Каргыджак с бюджетом от 600 до 800 евро. Нам важно, чтобы жилье было недалеко от моря и имело крытый бассейн, сауну и детскую площадку. Если у вас есть подходящий вариант, пожалуйста, свяжитесь со мной лично! (Для друзей)",1
"Куплю квартиру в Екта премиум. Рассматриваю 1+1, 2+1 и можно 3+1 от хозяина! Отправляйте в лч",1
"Добрый день ! Ищу квартиру 1+1 
Район Махмутлар, Каргыджак,Кестель
Бюджет 600 €
Без комиссии , на 2-3 месяца",1
"Купим квартиру от собственника 1+1 с полной инфраструктурой, с мебелью, вторичка, до 65.000евро, предложения в личку",1
Нужна квартира от собственника семья в махмутлар 2+1 бюджет 3500,1
"Куплю 1+1 Махмутлар до 65.000€ 
Деньги здесь 
Только от собственника",1
Махмутлар 2+1 квартира в аренду 500€,1
Куплю квартиру 2+1 в Yekta Kingdom Premium от собственника,1
"Здравствуйте! Ищу квартиру 1+1 , в Махмутлар или Обе , с 15 сентября на 9 месяцев , макс бюджет 300-350€",1
"Сниму квартиру 1+1 в Махмутларе до 500$ долгосрочно.

Дом с инфраструктурой. Проживать буду одна с сыном. Готова оплатить вперед. Без комиссии! С минимальным депозитом.
Предложения в личку, пожалуйста.",1
Куплю 1+1 от собственника в Yekta kıngdom premium срочно,1
"Продается квартира 1+1 Махмутларе от собственника в новом комплексе Foa Hiils. Присутствует вся необходимая мебель (кровать, диван, стол и т.д.) и техника (кондиционер, стиральная машина, холодильник и т.д.). До моря 1200 метров. Комплекс обладает большой территорией, которая включает в себя бассейн с 2 горками, беседки, детская площадка, спортивная площадка для игры в баскетбол, воллейбол, теннисный корт), генератор, сауна, хамам и финская парная, охрана. Тапу на руках, искан имеется.
Риэлторов просьба писать или звонить только при наличии реального клиента!
Цена - 70 000 евро.

Телефон: +7 (926) 248-73-83",1
Я ищу квартиру на продажу 1+ 1 55м2 удобства необходимы......бюджет - 60000 евро...махмутлар,1
"Всем добрый, продаю срочно квартиру в районе Оба 1+1. Получение внж 100%",1
"1+1, продам свою собственность. Авсалар.
Квартира с застекленной терассой 23 кв м. рядом с рынком и магазинами.
Самый центр. До моря 500 метров. Цена 80 т евро. Разумный торг.",1
"Добрый день, сниму 2+1 на длительный срок. От собственника . Махмутлар",1
"Продаю свою квартиру 1+1 в Махмутларе, зданию 2 года, с инфраструктурой,  2 этаж, с мебелью и техникой, 105000 евро.",1
"Махмутлар! Квартира 2+1, 110 м² , до моря 300 м . Срочная продажа!          ЦЕНА: 135.000 €",1
Здравсвуйте! нужна квартира на месяц в центре 1+1.,1
"Продам.
Махмутлар
CEBECI TOWERS
Ультра роскошный
Квартира 1+1,2+1.
Открытый вид на море 
Собственный пляж.",1
"Ищу долгосрочно аренда 1+1 ,2+1 район конец Махмутлар",1
Квартиры от застройщика 1+1 от 67914€,1
"Всем привет нужна квартира  в аренду , недорого, 1+1 я одна +77078832222",1
"Продам квартиру , собственник 
Авсаллар 
1+1
55 кВ м 
85 000 €",1
Продам две квартиры в одном комплексе. Срочно.,1
"Ребята всем привет👋
Нужна срочно квартира 1+1
Аланья, Оба или Махмутлар
На долгий срок.
Цена 3000 - 3500 Лир + Депозит.
Пишите в личку.",1
"От собственника! Продам 1+1 квартиру в Аланье (курорт Махмутлар) до моря 250 метров, дом соврменный красивый, 2 этаж, большой балкон, тихо и уютно, всю мебель и бытовую технику оставляем ! Всего 94 000 евро без торг , срочно 📞+90 551 050 8040 фото пришлю #безкомиссии #продам #махмутлар",1
"2+1 по цене 1+1 ! ! ! ! ! ! ! !

Продается квартира. Анталья Кепез.
ЖК ЭКПА 1207 (EKPA 1207)
Квартира 2+1, 85м2, c техникой и мебелью.
Закрытый комплекс с круглосуточной охраной и видеонаблюдением. На территории комплекса распологается три открытых бассейна и один закрытый, крытый паркинг, кафе, фитнесс и хамам.

Цена 115.000$",1
"Продаю срочно от собственника квартиру в Махмутларах Алания, 2+1
120м2 115,000евро по желанию скину фото",1
"Добрый день, сниму жилье в Кемере на год. 

Без комиссии. От собственника.
2+1

Варианты в личные сообщения. Заселяюсь в ближайшее время, хоть завтра.",1
"Срочно продам квартиру. Махмутлар, вторничный рынок. 1+1, солнечная сторона. 1й высокий этаж. Цена ниже из-за наличия арендатора. Если это будет у вас единственное жилье, за 2 недели её выселить не составит труда. Пишите в ЛС.",1
"#сниму квартиру #аренда 
Махмутлар  
Сниму квартиру 1+1 длительный срок. от 3 этажа 
семейная пара 2 человека + 🐱 котик
важно :посудомойку, кандей, 
Аренда до 750$ 
Инфраструктура комплекса",1
"Здравствуйте, сниму квартиру 1+1 на пол года - год. Рассматриваю районы Оба, Кестель, Тосмур, Махмутлар. Обязательно под ВНЖ.
Желаемый бюджет 600-650€. За исключением готов оплачивать 700€. 

Жду Ваших. предложений, заранее благодарю.",1
"#Продажа  Оба, 1+1, 55 кВ, 3 этаж, новый комплекс, Квартира без мебели , 120 000€, собственник",1
"Продажа
Квартира 1+1 55м2
Расположена в районе
Махмутлара Серенити Сити
Полная инфраструктура
Этаж- 5
Цена 110000€",1
"Куплю квартиру 1+1 в Алании (Нижняя Оба, Тосмур, центр Алании, )доме с инфраструктурой не старше 5 лет близко к морю . Первый этаж не предлагать. Бюджет до 70 тыс $",1
"Ищу на покупку 1+1 
Не первый этаж 
С тапу до 135.000€ 
Готов привести аванс",1
"Всем Добра! 
Ищем квартиру в Аланье. 1+1
Бюджет 200-350€
Писать мне в личку.
всем хорошего дня!)",1
"Нужна квартира на один месяц 2+1 бюджет 5000-6000 лира.Без комиссии, без депозита",1
"Куплю квартиру 1+1 в университетской без бассейна с мебелью, арентир на 65к долларов примерно",1
"Здравствуйте! 
СНИМУ квартиру 1+1 
Авсаллар 
На год!
Бюджет 400€ месяц",1
"Ищу квартиру для себя в Анталии район Лара  2+1 и выше 
Бюджет 185 000$",1
"Здравствуйте! Ищу квартиру в аренду на длительный срок. 
1+1 
Центр Алании 
Меблированная 
До 500€",1
"#куплю 

Ищу хорошую квартиру 

Критерии:

1. Коньялты
2. Внж по тапу
3. Инфраструктура 
4. Не первый этаж
5. Бюджет до 130к$
6. 1+1 или 1+2
7. Не далеко от моря",1
"🔴♦️🔴♦️🔴♦️🔴♦️🔴♦️🔴♦️🔴 

Куплю квартиру  для себя в разрешённых для первичного ВНЖ районах Анталии .  
Бюджет : до 100 тыс 
Важно ☝️: кадастровая стоимость квартиры должна быть не менее 75 тыс , если ниже - не рассматриваю ( мне для ВНЖ по тапу) 
Рассмотрю : 2+1, 3+1 
Удалённость от моря : до 1,5 км 
Не «уставший» дом , с достойным ремонтом .
Бассейн и прочее не обязательно . 
Гириш, последний этаж- строго НЕТ . 
Предложения в личку. 
Заранее благодарю 🌹🌹🌹",1
"Сниму жилье.
0+1
1+1
Анталья или Кемер.
Бюджет 6-9 тыс лир в мес.",1
"Здравствуйте, продам квартиру в Авсаллар 1+1 за   70 тыс , пишите в личку кого интересует , до моря 1000 м, магазины рядом , недалеко от центра",1
"Куплю квартиру в Анталии  1+1.близость к морю в пешей доступности.не выше  60т.€  (наличка на руках) вторичку или котлован, стройка
Может кто срочно продает🤷🏼‍♂️ в личку фото описание",1
"Продается квартира 1+1 от собственника. 120 000€ 
Алания, верхнее Оба. Дом с хорошей инфраструктурой)))
Бассейн, фитнес, парковка.
52 кв.м полностью меблирована. 1 этаж. Балкон с видом на бассейн.
Подходит под внж. Срочно!

+79085019198 Анна",1
Ищу жилье минимум на год. 2+1 бюджет 500-600 долларов. Желательно от собственника,1
"Продается квартира 1+1 от собственника. 120 000€ 
Алания, верхнее Оба. Дом с хорошей инфраструктурой)))
Бассейн, фитнес, парковка.
52 кв.м полностью меблирована. 1 этаж. Балкон с видом на бассейн.
Подходит под внж. Срочно!

Подробности в ЛС
+79085019198 Анна",1
"🛑6️⃣5️⃣0️⃣0️⃣0️⃣€🛑
Продаю свою квартиру в Авсалларе.
1+1, 42 м2, 1й этаж (высокий)
С-Ю-В сторона
🏊‍♀️БАССЕЙН
⛲САУНА
🏃‍♀️ФИТНЕС
🛀ХАМАМ
🪆ДЕТСКАЯ ИГРОВАЯ ПЛОЩАДКА
⚡ГЕНЕРАТОР
🚌ТРАНСФЕР ДО МОРЯ
🌊РАССТОЯНИЕ ДО МОРЯ: 900 МЕТРОВ (15 мин пешком)
🏗️СТРОИТЕЛЬСТВО ЗАВЕРШЕНО. 
ИДЕТ ЗАСЕЛЕНИЕ.
ТАПУ НА РУКАХ
Фото квартиры, дополнительная информация в ЛС  WhatsApp по телефону
+905461866048",1
"🛑6️⃣5️⃣0️⃣0️⃣0️⃣€🛑
Продаю свою квартиру в Авсалларе.
1+1, 42 м2, 1й этаж (высокий)
С-Ю-В сторона
🏊‍♀️БАССЕЙН
⛲САУНА
🏃‍♀️ФИТНЕС
🛀ХАМАМ
🪆ДЕТСКАЯ ИГРОВАЯ ПЛОЩАДКА
⚡ГЕНЕРАТОР
🚌ТРАНСФЕР ДО МОРЯ
🌊РАССТОЯНИЕ ДО МОРЯ: 900 МЕТРОВ (15 мин пешком)
🏗️СТРОИТЕЛЬСТВО ЗАВЕРШЕНО. 
ИДЕТ ЗАСЕЛЕНИЕ.
ТАПУ НА РУКАХ
Фото квартиры, дополнительная информация в ЛС  WhatsApp по телефону
+905461866048",1
"🛑7️⃣1️⃣0️⃣0️⃣0️⃣€🛑
Продаю свою квартиру в Авсалларе.
1+1, 42 м2, 1й этаж (высокий)
С-Ю-В сторона
🏊‍♀️БАССЕЙН
⛲САУНА
🏃‍♀️ФИТНЕС
🛀ХАМАМ
🪆ДЕТСКАЯ ИГРОВАЯ ПЛОЩАДКА
⚡ГЕНЕРАТОР
🚌ТРАНСФЕР ДО МОРЯ
🌊РАССТОЯНИЕ ДО МОРЯ: 900 МЕТРОВ (15 мин пешком)
🏗️СТРОИТЕЛЬСТВО ЗАВЕРШЕНО. 
ИДЕТ ЗАСЕЛЕНИЕ.
ТАПУ НА РУКАХ
Фото квартиры, дополнительная информация в ЛС  WhatsApp по телефону
+905461866048",1
Кто-нибудь хочет купить 1+1 или 2 квартиры в Анталии Белек?,1
"Продается квартира 2+1 дуплекс в Авсалларе от собственника
От моря 1500 м
Цена 120.000 EUR",1
"Всем привет 👋🏻 
Срочно куплю квартиру в Анталии 🌆
- 3+1 
- 3.500.000 tl 💵 185.000 $ 
- район Kiziltoprak 🏘️
- 2/3 этаж 
- ГАЗОВОЕ ОТОПЛЕНИЕ 
- не старый дом ( до 10 лет) 

В хорошем состоянии ( разбитые квартиры, которые требуют глобального ремонта НЕ ПРЕДЛОГАТЬ☝🏻) 

Кто будет предлагать варианты , не совпадающие с моими критериями , буду отправлять в черный список. 
Предложения жду в личные сообщения , вместе с фотографиями и характеристикой квартиры😉
Спасибо 🙏🏻",1
"💥📢 Продаю квартиру 1+1 , АЛАНИЯ, собственник.
53 м2, в Махмутларе,  3 этаж 11 этажного здания, мебель и бытовая техника, из инфраструктуры бассейн на крыше дома, айдат 300 лир, 800 метров до моря, рядом вторничный рынок,  школа, сетевые магазины. 
Цена 6 200 000 рублей !!!
В евро 82 000.
 Торг при осмотре!
Тел: +7 919 920 3232 вотсап",1
"Добрый день, ищем квартиру 1+1 либо 2+1 в Алании, без депозита и Комиссии
До 750$ в месяц",1
"Полностью меблированная квартира с прямым видом на море в люкс комплексе  Azura Park, Mahmutlar Alanya 
4 этаж, 2+1, 115 м2
Цена 190.000 €
Квартира подходит под гражданство
В этом же комплексе ещё 3 квартиры планировкой 2+1 по самым выгодным ценам.
1 этаж 160.000 €
2 этаж 170.000 €
3 этаж 180.000 €

Все квартиры подходят под гражданство

Крытая инфраструктура:
  Крытый плавательный бассейн с подогревом
  Сауна
  Паровая комната
  Зона отдыха
  Массажные комнаты
  Турецкая баня (хамам)
  Зал фитнеса
  Кинотеатр
  Дискотека
  Боулинг
  Бильярд
  Развлекательный центр
  Игровая для детей
  Ресепшн
  Ресторан
  Магазин
  Лобби
  Кафетерий
Общая инфраструктура:
  Общий бассейн
  Аквапарк
  Теннисный корт
  Баскетбольная площадка
  Игровая площадка для детей
  парковка
  Электрогенератор
Рестораны:
  Витаминный бар
  Лобби-бар
  A'la сart ресторан
  Турецкий ресторан
  Итальянский ресторан
  Русский ресторан
  VIP-ресторан
  Ирландский паб
  Винный бутик
+905050530773 Whatsapp 
#продамквартиру
#azurapark",1
"Добрый вечер всем. Есть квартиры в аренду? Авсалар, Аланья. 2+1 на несколько месяцев",1
"Добрый вечер , ищу квартиру 2+1 в г.Анталья ,в открытом для внж районе от собственника , писать в личку)",1
"Добрый вечер! Видела здесь сообщение о суточной аренда квартиры в Алании . Потеряла контакты. Прошу написать здесь, либо в личку. Буду благодарна. Спасибо",1
"Здравствуйте, я ищу дом на продажу/аренда 2+1 в центре Алании, Клеопатра, Оба.",1
"Сниму квартиру в алании. Предложения, пожалуйста, в личку.",1
"Здравствуйте ищу квартиру, Альбимо лофт, на долги срок от собственника, желательно завтра заехать",1
"Здравствуйте, ищу комнату в аренду в Аланье. Пожалуйста, буду признателен, если напишут серьезные люди.",1
"Здравствуйте! Ищу квартиру В ОТЛИЧНОМ СОСТОЯНИИ на длительную аренду( год минимум) 1+1, 2+1
Для двоих человек. Район не важен.",1
Всем привет! Может кто-то сдает квартиру без агентов до 10 000 лир? Хотим арендовать на пол года,1
"Здравствуйте ищу  аренду на июнь месяц на две недели  2+1 не старый дом, есть предложение пишите",1
добрый вечер! ищу квартиру в аренду на двоих взрослых с 24.06 в махмутларе. желательно от собственника,1
"Ищу квартиру на аренду на месяц с 8 числа
2+1
Хороший комплекс близко к морю 
Махмутлар 
Спасибо большое 🙏",1
"Всем привет .

Неспешно до середины января ищу квартиру в Анталии Коньялты 1+1 или 2+1

На долгий срок 

Пишите в ЛС с фото , локацией и ценой в лирах",1
"Здравствуйте, ищу активного риелтора по Анталии или Алании для поиска жилья. Жду в лс или упомяните меня здесь!",1
"Куплю квартиру в Olive City ( Оба, Аланья)от собственника 1+1, 2+1 . Предложения в ЛС.",1
"ребята, салют! полскажите пжл классного реиелтора для поиска квартиры в аренду на долгий срок",1
Ищу а Анталье небольшую квартиру на полгода в аренду можно на 3 мес апреля  недорого жел от хозяина если подскажете Апарт как кВ  буду очень признательна 😊,1
"Ищу квартиру 2+1 
На 3-4 месяца",1
Доброго дня всем. Нужна в аренду квартира 2+1 с 21 июня до 22 июля,1
"Супружеская пара, ищем квартиру 1+1 в аренду в районе с возможностью получения внж на 1 год",1
"Здравствуйте,кто нибудь сдает квартиру на июнь месяц 2+1 или 3+1?",1
"Здравствуйте, срочно ищу комнату в аренду. Пожалуйста, буду признателен, если напишут серьезные люди.",1
"Здравствуйте, ищу квартиру 2+1 на длительный срок ВНЖ открытом районе, от собственника. Цена 500€ желательно по лире 20000",1
"Здравствуйте, сниму квартиру 2+1 на месяц с 06.06. по 06.07",1
"Всем привет! 

Ищем двухкомнатную квартиру/просторную студию на двоих в Анталье (не провинции, а самом городе) с современным ремонтом, кухней, не giriś kat. В идеале в Муратпаше не на отшибе (Дюден, Лара, центр). Период аренды: 1 месяц: 05.05-05.06 плюс-минус. Бюджет: до  12 000 лир. 

Заранее спасибо за ваши варианты. Высылайте, пожалуйста, в лс с фото 😊",1
"Здравствуйте! Ищем квартиру для аренды и оформления внж❗️На полгода или год.

1+1,1+0, студия или другие варианты. Главное РАЗУМНАЯ ЦЕНА. Не дороже 5000 лир в месяц.

Необходимы наличие wi-fi и стола под рабочее место. Удаленность от моря не важна. Рассматриваем любой район Анталии. 

Пишите в личку!",1
"Здравствуйте. Нужна квартира или вилла 1+1 или 2+1 или 3 + 1 сроком на год, от собственника, в районе Тосмур, Оба. С возможностью прописки и переофомления одного счетчика. Буду рад сообщениям в личке.",1
"Здравствуйте, нужна квартира 1+1 в центре  с 9-10 января на 2 недели",1
Добрый день. Нужна квартира с мебелью на три месяца (может и больше) 2+1 в районе Коньяалты,1
Добрый день! Сниму квартиру в Алании 2+1 на месяц с 15.03. со всей инфраструктурой.,1
"#аренда 

Подруга ищет квартиру в АРЕНДУ!!!

Ищу квартиру 2+1 в Алании, без мебели на долгий срок. Желательно от собственника. Чистоту и порядок гарантирую. 
P.S У меня есть собака. Не шумная, воспитанная, не агрессивная. Приучена к улице. 
Цена: до 8000 TL. 
Tel: +905526714551",1
Здравствуйте. Подыскиваем квартиру/ аппартаменты в Махмутларе на 4 человека ( 2+1+1) на 2 месяца з начала апреля. Может кто сдает или есть контакты? Без ВНЖ. Спасибо.,1
Здравствуйте! Сниму квартиру 1+1 на период с конца мая до конца августа,1
#ищу квартиру посуточно в стамбуле,1
Ищу аренду 2+1 Кастель с 14 сентября на месяц #аренда,1
"Здравствуйте! Нужны апартаменты 1+1 с 2.08 на 1 месяц. Не далеко от моря, с ребенком, нужна чистая и в нормальном состоянии квартира, напишите в личку",1
"С 14.04-30.04 нужна в аренду квартира 1+1, от собственника! Чистая, в новых домах. Риэлторов прошу не беспокоить",1
"Сниму в Кестеле или верхнем Махмутларе 2+1, 3+1 на 2-3 месяца. Предложения в личку плиз)",1
"‼СРОЧНАЯ ПРОДАЖА‼

#Продается квартира 2+1 в самом центре популярного района Махмутлар/Аланья.

☝Полностью обставлена мебелью и техникой!

🏠 Квартира подойдет как дача, для тех, кто хочет отдыхать в Турции длительно.

💶 А также для тех, кто хочет зарабатывать на сдаче в аренду.

🔹Отдельный зал
🔹Отдельная кухня
🔹Коридор и прихожая
🔹2 санузла
🔹3 балкона, все с хорошим остеклением
🔹Бассейн работает
🔹Новый лифт

В доме проживают в основном европейцы.

🌊 До моря 450 метров.

🍓 Недалеко овощной рынок!

Цена была: 140000 евро 

Сейчас: 120000 евро. Небольшой торг!

Больше фото скину в ЛС!

#продам #алания #махмутлар",1
"‼ГОРЯЩАЯ ПРОДАЖА‼

Продается квартира 2+1 в самом центре популярного района Махмутлар/Аланья.

☝С мебелью и техникой! Всё остаётся!

🏠 Квартира идеальна как дача, для тех, кто хочет отдыхать в Турции долго.

💶 И для тех, кто хочет зарабатывать на аренде.

🔹Отдельная кухня
🔹2 санузла
🔹3 балкона, все с хорошим остеклением
🔹Бассейн работает
🔹Новый лифт

В доме живут одни европейцы.

🌊 До моря 450 метров.

🍏 Рядом овощной рынок!

Цена была: 140000 евро 

Цена сейчас: 120000 евро. Небольшой торг!

Все фото скину в ЛС!

#продам #алания #махмутлар",1
"АНТАЛЬЯ:
Ищу квартиру 2+1 или 3+1
Без мебели 
В новом доме

Район лиман-хурма",1
Срочно нужна хорошая квартира 3+1 в Махмутларе с инфраструкторой с 16 марта на две недели. Фото в лс,1
Ищу 2+1 в махмутлар на месяц. Варианты в лс.,1
